model,target_label,n_state,n_nonstate,SPD,SPD_CI_lower,SPD_CI_upper,TPR_state,TPR_nonstate,TPR_diff,TPR_pvalue,FPR_state,FPR_nonstate,FPR_diff,FPR_pvalue
acled-small-llm-ft:v1,V,501,499,-0.31707326829307314,-0.3671022684090737,-0.26504066016264066,0.9152542372881356,0.9813084112149533,-0.06605417392681767,0.021,0.0022624434389140274,0.010526315789473684,-0.008263872350559656,0.317
llama3.2:3b,V,501,499,-0.36374945499781997,-0.41971067884271535,-0.30579882319529283,1.0,1.0,0.0,1.0,0.15610859728506787,0.3333333333333333,-0.17722473604826544,0.0
gemma3:4b,V,501,499,-0.18212072848291389,-0.2382076528306113,-0.12003618014472062,0.9830508474576272,0.9953271028037384,-0.012276255346111209,0.388,0.3665158371040724,0.34035087719298246,0.026164959911089913,0.446
mistral:7b,V,501,499,-0.322997291989168,-0.36914537658150637,-0.2749244996979988,0.6440677966101694,0.8691588785046729,-0.22509108189450344,0.0,0.013574660633484163,0.06666666666666667,-0.0530920060331825,0.0
conflibert_finetuned_acled_v1_seed42,V,501,499,-0.3070932283729135,-0.35712142848571393,-0.2570552282209129,0.9322033898305084,0.9719626168224299,-0.03975922699192147,0.247,0.011312217194570135,0.017543859649122806,-0.006231642454552671,0.506
olmo2:7b,V,501,499,-0.3270773083092332,-0.3791177164708659,-0.27104448417793675,0.7627118644067796,0.8878504672897196,-0.12513860288294,0.017,0.01809954751131222,0.0912280701754386,-0.07312852266412638,0.0
