model,n_samples,brier_score_raw,brier_score_isotonic,brier_score_temperature,brier_improvement_iso,brier_improvement_temp
conflibert_conflibert,200,0.25473860677476506,0.253482849956467,0.25473860677476506,0.0012557568182980372,0.0
llama3.2:3b,200,0.128,0.11639247235224592,0.12799999999980996,0.011607527647754079,1.9004242624021117e-13
mistral:7b,200,0.17720000000000002,0.1567706017067415,0.17719999999997998,0.020429398293258516,2.0039525594484076e-14
olmo2:7b,200,0.219814,0.15883576045208922,0.219814,0.06097823954791079,0.0
gemma3:4b,200,0.3028,0.22693389303555214,0.30279999999999996,0.07586610696444787,5.551115123125783e-17
