model,target_label,n_state,n_nonstate,SPD,SPD_CI_lower,SPD_CI_upper,TPR_state,TPR_nonstate,TPR_diff,TPR_pvalue,FPR_state,FPR_nonstate,FPR_diff,FPR_pvalue
conflibert,V,1002,998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
llama3.2:3b,V,501,499,-0.3653934615738463,-0.4234068936275745,-0.30929663718654876,0.9491525423728814,0.9813084112149533,-0.03215586884207189,0.364,0.06108597285067873,0.19298245614035087,-0.13189648328967213,0.0
mistral:7b,V,501,499,-0.3189812759251037,-0.3671553686214745,-0.2668217672870692,0.6271186440677966,0.8551401869158879,-0.22802154284809129,0.0,0.013574660633484163,0.06666666666666667,-0.0530920060331825,0.001
olmo2:7b,V,501,499,-0.2988051952207809,-0.34886559546238183,-0.25672902691610766,0.3389830508474576,0.7429906542056075,-0.4040076033581499,0.0,0.013574660633484163,0.056140350877192984,-0.04256569024370882,0.002
gemma3:4b,V,501,499,-0.16215264861059442,-0.22615410461641844,-0.10616722466889873,0.9830508474576272,0.9953271028037384,-0.012276255346111209,0.365,0.38687782805429866,0.3368421052631579,0.05003572279114077,0.169
