model,n_samples,brier_score_raw,brier_score_isotonic,brier_score_temperature,brier_improvement_iso,brier_improvement_temp
llama3.2:3b,200,0.29978699999999997,0.22429332360220997,0.29978699999999997,0.07549367639779,0.0
mistral:7b,200,0.2215655,0.19417301615112506,0.22156550000000003,0.027392483848874938,-2.7755575615628914e-17
olmo2:7b,200,0.276133,0.21661274865321622,0.27613299999999996,0.05952025134678379,5.551115123125783e-17
gemma3:4b,200,0.279712,0.17681416713710013,0.279712,0.10289783286289989,0.0
