perturbation_type,model,CFR_flip_rate,n_perturbations,mean_confidence_delta,mean_abs_confidence_delta,CDE_mean,CDE_median,t_pvalue,wilcoxon_pvalue
legitimation_add,mistral:7b,0.6,20,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,4.715158359978385e-07,8.058194031965037e-05
delegitimation_add,mistral:7b,0.55,40,0.0824999999999999,0.0844999999999999,0.0824999999999999,0.0999999999999999,2.0157075324942877e-09,4.60856137902664e-07
provenance_add,mistral:7b,0.5166666666666667,60,0.0866666666666666,0.0866666666666666,0.0866666666666666,0.0999999999999999,1.0236575284365116e-20,1.2573782235284315e-11
decontextualization,mistral:7b,0.6578947368421053,38,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.0999999999999999,2.287103852873776e-13,6.247420639391749e-08
actor_substitution,mistral:7b,0.5555555555555556,27,0.06,0.06,0.06,0.05,7.63898149904369e-07,1.5412863515683817e-05
intensity_high,mistral:7b,0.8095238095238095,21,0.1195238095238095,0.1195238095238095,0.1195238095238095,0.0999999999999999,3.583373110612528e-07,6.808599234788902e-05
action_substitution,mistral:7b,0.5,6,0.06,0.06,0.06,0.06,0.0202378788731653,0.03125
negation,mistral:7b,0.6,5,0.144,0.144,0.144,0.15,0.022439614895253,0.0625
actor_substitution,olmo2:7b,0.8333333333333334,30,-0.0033333333333333,0.0226666666666667,-0.0033333333333333,5.551115123125783e-17,0.5775725856532469,0.8269963768104928
intensity_high,olmo2:7b,1.0,24,-0.0041666666666666,0.0408333333333333,-0.0041666666666666,1.1102230246251563e-16,0.7287783749553973,0.9770383030953964
action_substitution,olmo2:7b,1.0,9,-0.0233333333333333,0.0233333333333334,-0.0233333333333333,-0.0300000000000001,0.004655662853928,0.04296875
negation,olmo2:7b,0.8333333333333334,6,-0.0083333333333333,0.0483333333333333,-0.0083333333333333,-0.015,0.7730828543353139,0.84375
legitimation_add,olmo2:7b,0.8,20,0.0045,0.0345,0.0045,1.1102230246251563e-16,0.7203771736674431,0.404806467507165
delegitimation_add,olmo2:7b,0.775,40,-0.0154999999999999,0.0325,-0.0154999999999999,0.0,0.0526100785783261,0.0947430458683839
provenance_add,olmo2:7b,0.75,60,-0.0046666666666666,0.032,-0.0046666666666666,0.0,0.4737443470310847,0.8175829181207842
decontextualization,olmo2:7b,0.85,40,0.002,0.025,0.002,5.551115123125783e-17,0.779123645310378,0.4849330447984612
actor_substitution,gemma3:4b,0.6666666666666666,33,0.026666666666666575,0.042424242424242344,0.026666666666666575,0.029999999999999916,0.0005955483582551973,0.0002750607915080283
intensity_high,gemma3:4b,0.7777777777777778,27,0.019629629629629552,0.035925925925925854,0.019629629629629552,0.029999999999999916,0.011818068453488723,0.0002469335447656244
action_substitution,gemma3:4b,0.6666666666666666,12,0.027499999999999913,0.03749999999999992,0.027499999999999913,0.029999999999999916,0.015584546848470623,0.00390625
negation,gemma3:4b,0.8333333333333334,6,0.02833333333333325,0.03499999999999992,0.02833333333333325,0.029999999999999916,0.05948531453247877,0.0625
legitimation_add,gemma3:4b,0.85,20,0.036499999999999894,0.045499999999999916,0.036499999999999894,0.029999999999999916,0.00023798853826049494,0.001024890404344878
delegitimation_add,gemma3:4b,0.725,40,0.03899999999999989,0.0484999999999999,0.03899999999999989,0.029999999999999916,7.178220465125486e-08,1.5661076113929489e-06
provenance_add,gemma3:4b,0.7833333333333333,60,0.03816666666666655,0.04616666666666657,0.03816666666666655,0.029999999999999916,7.367190643429845e-12,2.375387187094312e-09
decontextualization,gemma3:4b,0.9,40,0.036499999999999894,0.049499999999999905,0.036499999999999894,0.029999999999999916,1.7237859264420304e-06,1.5515863264780904e-05
