model,feature,feature_value,n_samples,error_rate,error_rate_diff_from_overall
llama3.2:3b,notes_length,very_short,4,0.5,0.21100000000000002
llama3.2:3b,notes_length,short,303,0.30033003300330036,0.011330033003300377
llama3.2:3b,notes_length,medium,443,0.27765237020316025,-0.011347629796839731
llama3.2:3b,notes_length,long,233,0.27896995708154504,-0.01003004291845494
llama3.2:3b,notes_length,very_long,17,0.47058823529411764,0.18158823529411766
llama3.2:3b,notes_length_continuous,correlation,1000,0.0033701629507654185,0.9152325293496976
olmo2:7b,notes_length,very_short,4,0.5,0.243
olmo2:7b,notes_length,short,303,0.3201320132013201,0.06313201320132011
olmo2:7b,notes_length,medium,443,0.22573363431151242,-0.03126636568848759
olmo2:7b,notes_length,long,233,0.2446351931330472,-0.012364806866952793
olmo2:7b,notes_length,very_long,17,0.058823529411764705,-0.1981764705882353
olmo2:7b,notes_length_continuous,correlation,1000,-0.06841810174900642,0.03051044733922756
mistral:7b,notes_length,very_short,4,0.0,-0.205
mistral:7b,notes_length,short,303,0.20462046204620463,-0.00037953795379536137
mistral:7b,notes_length,medium,443,0.22573363431151242,0.020733634311512428
mistral:7b,notes_length,long,233,0.18025751072961374,-0.024742489270386248
mistral:7b,notes_length,very_long,17,0.058823529411764705,-0.1461764705882353
mistral:7b,notes_length_continuous,correlation,1000,-0.0122664727126758,0.6984383805067411
