model,label,precision,recall,f1,support
llama3.2:3b,B,0.8888888888888888,0.7441860465116279,0.810126582278481,86
llama3.2:3b,E,0.3076923076923077,0.26666666666666666,0.2857142857142857,15
llama3.2:3b,P,0.9130434782608695,1.0,0.9545454545454546,21
llama3.2:3b,R,0.75,0.8571428571428571,0.8,7
llama3.2:3b,S,0.40625,0.8666666666666667,0.5531914893617021,15
llama3.2:3b,V,0.7692307692307693,0.7142857142857143,0.7407407407407407,56
mistral:7b,B,0.8658536585365854,0.8255813953488372,0.8452380952380952,86
mistral:7b,E,0.6666666666666666,0.13333333333333333,0.2222222222222222,15
mistral:7b,P,1.0,1.0,1.0,21
mistral:7b,R,0.5,0.2857142857142857,0.36363636363636365,7
mistral:7b,S,1.0,0.8,0.8888888888888888,15
mistral:7b,V,0.6923076923076923,0.9642857142857143,0.8059701492537313,56
olmo2:7b,B,0.9473684210526315,0.627906976744186,0.7552447552447552,86
olmo2:7b,E,0.6666666666666666,0.6666666666666666,0.6666666666666666,15
olmo2:7b,P,1.0,1.0,1.0,21
olmo2:7b,R,0.2,0.14285714285714285,0.16666666666666666,7
olmo2:7b,S,0.9166666666666666,0.7333333333333333,0.8148148148148148,15
olmo2:7b,V,0.5666666666666667,0.9107142857142857,0.6986301369863014,56
