model,country,n,accuracy,macro_f1,f1_V,f1_B,f1_E,f1_P,f1_R,f1_S,cfr_mean_optional,rfc_low_discord_optional,SPD,SPD_CI_lower,SPD_CI_upper,TPR_diff,TPR_pvalue,FPR_diff,FPR_pvalue,n_state,n_nonstate,false_legitimization_rate_FLR,false_illegitimization_rate_FIR,false_legitimization_count_FL,false_illegitimization_count_FI,harm_ratio_FL_to_FI,n_illegit_events,n_legit_events
conflibert_finetuned_acled_v1_seed42,cmr,12566,0.9635,0.9633,0.963,0.9422,0.9604,0.9938,0.9313,0.9894,,,-0.05129453254661992,-0.06971221692640311,-0.0299842533013866,-0.005149002916681966,0.23333333333333334,0.08945760681678441,0.0,2801.0,9765.0,0.010294711344368187,0.04629485785303713,51,298,0.17114093959731544,4954,6437
conflibert_finetuned_acled_v1_seed42,nga,22885,0.9743,0.9719,0.9776,0.9676,0.9788,0.9921,0.9285,0.9871,,,-0.12721253441720204,-0.3821576854158472,0.37131681307635156,-0.9780844155844156,0.0,0.23625236725818896,0.05333333333333334,4.0,22881.0,0.01020408163265306,0.023014804845222073,88,171,0.5146198830409356,8624,7430
small_llm_merged_acled_v1_seed42,cmr,300,0.9567,0.9474,0.9614,0.9427,1.0,1.0,0.8,0.9806,,,-0.04740466101694918,-0.1970603813559322,0.08419623940677957,0.021052631578947323,1.0,0.06761229314420804,0.043333333333333335,64.0,236.0,0.008771929824561403,0.043478260869565216,1,7,0.14285714285714285,114,161
small_llm_merged_acled_v1_seed42,nga,300,0.98,0.9822,0.9859,0.9724,1.0,0.9892,0.9455,1.0,,,,,,,,,,,,0.009433962264150943,0.018867924528301886,1,2,0.5,106,106
