model,feature,feature_value,n_samples,error_rate,error_rate_diff_from_overall
llama3.2:3b,notes_length,very_short,4,0.5,0.18
llama3.2:3b,notes_length,short,303,0.32673267326732675,0.006732673267326739
llama3.2:3b,notes_length,medium,443,0.32054176072234764,0.0005417607223476284
llama3.2:3b,notes_length,long,233,0.3090128755364807,-0.010987124463519293
llama3.2:3b,notes_length,very_long,17,0.29411764705882354,-0.025882352941176467
llama3.2:3b,notes_length_continuous,correlation,1000,0.004830742492569888,0.8787363442149473
olmo2:7b,notes_length,very_short,4,0.5,0.235
olmo2:7b,notes_length,short,303,0.28052805280528054,0.015528052805280523
olmo2:7b,notes_length,medium,443,0.27539503386004516,0.010395033860045144
olmo2:7b,notes_length,long,233,0.22746781115879827,-0.03753218884120174
olmo2:7b,notes_length,very_long,17,0.17647058823529413,-0.08852941176470588
olmo2:7b,notes_length_continuous,correlation,1000,-0.040482624703680054,0.20086317672308462
mistral:7b,notes_length,very_short,4,0.0,-0.22
mistral:7b,notes_length,short,303,0.19141914191419143,-0.02858085808580857
mistral:7b,notes_length,medium,443,0.24604966139954854,0.026049661399548535
mistral:7b,notes_length,long,233,0.22317596566523606,0.0031759656652360635
mistral:7b,notes_length,very_long,17,0.058823529411764705,-0.1611764705882353
mistral:7b,notes_length_continuous,correlation,1000,0.02637958276542314,0.40467706816441185
gemma3:4b,notes_length,very_short,4,0.0,-0.183
gemma3:4b,notes_length,short,303,0.16501650165016502,-0.01798349834983498
gemma3:4b,notes_length,medium,443,0.20316027088036118,0.02016027088036118
gemma3:4b,notes_length,long,233,0.18454935622317598,0.0015493562231759794
gemma3:4b,notes_length,very_long,17,0.0,-0.183
gemma3:4b,notes_length_continuous,correlation,1000,0.005868143952918307,0.8529651042388345
