model,label,precision,recall,f1,support
gemma3:4b,B,0.8181818181818182,0.9418604651162791,0.8756756756756757,86
gemma3:4b,E,0.6666666666666666,0.13333333333333333,0.2222222222222222,15
gemma3:4b,P,0.9545454545454546,1.0,0.9767441860465116,21
gemma3:4b,R,0.5384615384615384,1.0,0.7,7
gemma3:4b,S,1.0,0.4666666666666667,0.6363636363636364,15
gemma3:4b,V,0.875,0.875,0.875,56
llama3.2:3b,B,0.8484848484848485,0.6511627906976745,0.7368421052631579,86
llama3.2:3b,E,0.2,0.06666666666666667,0.1,15
llama3.2:3b,P,0.8076923076923077,1.0,0.8936170212765957,21
llama3.2:3b,R,0.5,0.42857142857142855,0.46153846153846156,7
llama3.2:3b,S,0.37037037037037035,0.6666666666666666,0.47619047619047616,15
llama3.2:3b,V,0.6285714285714286,0.7857142857142857,0.6984126984126984,56
mistral:7b,B,0.8588235294117647,0.8488372093023255,0.8538011695906432,86
mistral:7b,E,0.5,0.13333333333333333,0.21052631578947367,15
mistral:7b,P,1.0,1.0,1.0,21
mistral:7b,R,0.6,0.42857142857142855,0.5,7
mistral:7b,S,0.9230769230769231,0.8,0.8571428571428571,15
mistral:7b,V,0.7083333333333334,0.9107142857142857,0.796875,56
olmo2:7b,B,0.7835051546391752,0.8837209302325582,0.8306010928961749,86
olmo2:7b,E,0.3,0.2,0.24,15
olmo2:7b,P,0.8076923076923077,1.0,0.8936170212765957,21
olmo2:7b,R,0.5,0.5714285714285714,0.5333333333333333,7
olmo2:7b,S,1.0,0.26666666666666666,0.42105263157894735,15
olmo2:7b,V,0.8545454545454545,0.8392857142857143,0.8468468468468469,56
