model,n_samples,brier_score_raw,brier_score_isotonic,brier_score_temperature,brier_improvement_iso,brier_improvement_temp
llama3.2:3b,200,0.298396,0.21630029235348494,0.298396,0.08209570764651505,0.0
olmo2:7b,200,0.197376,0.17141820003061736,0.19737599999999997,0.025957799969382633,2.7755575615628914e-17
mistral:7b,200,0.1679455,0.1543106131347038,0.16794549999999997,0.013634886865296209,2.7755575615628914e-17
gemma3:4b,200,0.13799099999999997,0.13794802655491967,0.13799099999999997,4.297344508030765e-05,0.0
