model,target_label,n_state,n_nonstate,SPD,SPD_CI_lower,SPD_CI_upper,TPR_state,TPR_nonstate,TPR_diff,TPR_pvalue,FPR_state,FPR_nonstate,FPR_diff,FPR_pvalue
mistral:7b,V,500,500,-0.182,-0.24199999999999994,-0.124,0.8881578947368421,0.8952380952380953,-0.007080200501253131,0.861,0.10344827586206896,0.25517241379310346,-0.1517241379310345,0.0
llama3.2:3b,V,500,500,-0.09599999999999997,-0.1479999999999999,-0.038000000000000034,0.9671052631578947,1.0,-0.03289473684210531,0.01,0.43103448275862066,0.46551724137931033,-0.03448275862068967,0.412
gemma3:4b,V,500,500,-0.06600000000000006,-0.12405,-0.01200000000000001,0.993421052631579,1.0,-0.006578947368421018,0.42,0.5919540229885057,0.6206896551724138,-0.028735632183908066,0.476
olmo2:7b,V,500,500,-0.09399999999999997,-0.15000000000000002,-0.03395000000000002,0.9013157894736842,0.8476190476190476,0.053696741854636576,0.143,0.08333333333333333,0.1206896551724138,-0.03735632183908047,0.152
