model,false_legitimization_rate_FLR,false_legitimization_count_FL,n_illegit_events,false_illegitimization_rate_FIR,false_illegitimization_count_FI,n_legit_events,total_events,harm_ratio_FL_to_FI
acled-small-llm-ft:v1,0.04,3,75,0.009009009009009009,1,111,200,3.0
llama3.2:3b,0.0,0,75,0.3153153153153153,35,111,200,0.0
gemma3:4b,0.0,0,75,0.5585585585585585,62,111,200,0.0
mistral:7b,0.08,6,75,0.14414414414414414,16,111,200,0.375
conflibert_finetuned_acled_v1_seed42,0.013333333333333334,1,75,0.018018018018018018,2,111,200,0.5
olmo2:7b,0.08,6,75,0.12612612612612611,14,111,200,0.42857142857142855
