model,label,precision,recall,f1,support
gemma3:4b,B,0.96875,0.44285714285714284,0.6078431372549019,70
gemma3:4b,E,0.42857142857142855,0.75,0.5454545454545454,4
gemma3:4b,P,1.0,0.6666666666666666,0.8,3
gemma3:4b,R,0.0,0.0,0.0,7
gemma3:4b,S,1.0,0.07317073170731707,0.13636363636363635,41
gemma3:4b,V,0.4774193548387097,0.9866666666666667,0.6434782608695652,75
llama3.2:3b,B,0.7857142857142857,0.6285714285714286,0.6984126984126984,70
llama3.2:3b,E,0.25,0.75,0.375,4
llama3.2:3b,P,0.42857142857142855,1.0,0.6,3
llama3.2:3b,R,0.45454545454545453,0.7142857142857143,0.5555555555555556,7
llama3.2:3b,S,0.6428571428571429,0.21951219512195122,0.32727272727272727,41
llama3.2:3b,V,0.61,0.8133333333333334,0.6971428571428572,75
mistral:7b,B,0.8840579710144928,0.8714285714285714,0.8776978417266187,70
mistral:7b,E,0.15384615384615385,1.0,0.26666666666666666,4
mistral:7b,P,1.0,0.6666666666666666,0.8,3
mistral:7b,R,0.12962962962962962,1.0,0.22950819672131148,7
mistral:7b,S,0.6153846153846154,0.1951219512195122,0.2962962962962963,41
mistral:7b,V,0.9166666666666666,0.44,0.5945945945945946,75
olmo2:7b,B,0.9180327868852459,0.8,0.8549618320610687,70
olmo2:7b,E,0.16,1.0,0.27586206896551724,4
olmo2:7b,P,1.0,1.0,1.0,3
olmo2:7b,R,0.21428571428571427,0.42857142857142855,0.2857142857142857,7
olmo2:7b,S,0.8,0.1951219512195122,0.3137254901960784,41
olmo2:7b,V,0.6896551724137931,0.8,0.7407407407407407,75
