model,target_label,n_state,n_nonstate,SPD,SPD_CI_lower,SPD_CI_upper,TPR_state,TPR_nonstate,TPR_diff,TPR_pvalue,FPR_state,FPR_nonstate,FPR_diff,FPR_pvalue
llama3.2:3b,V,500,500,0.03199999999999997,-0.028000000000000025,0.09000000000000002,0.8355263157894737,0.6571428571428571,0.17838345864661653,0.0,0.14367816091954022,0.07931034482758621,0.06436781609195401,0.014
mistral:7b,V,500,500,-0.016000000000000014,-0.07800000000000001,0.04204999999999999,0.993421052631579,0.9285714285714286,0.06484962406015038,0.002,0.27298850574712646,0.20344827586206896,0.06954022988505751,0.042
olmo2:7b,V,500,500,0.03200000000000003,-0.028000000000000025,0.08799999999999997,0.881578947368421,0.6190476190476191,0.26253132832080195,0.0,0.10057471264367816,0.07931034482758621,0.02126436781609195,0.405
