perturbation_type,model,CFR_flip_rate,n_perturbations,mean_confidence_delta,mean_abs_confidence_delta,CDE_mean,CDE_median,t_pvalue,wilcoxon_pvalue
intensity_high,mistral:7b,0.4333333333333333,30,0.0496666666666667,0.0496666666666667,0.0496666666666667,0.0299999999999999,0.0011080217669391,1.236647797459787e-06
legitimation_add,mistral:7b,0.5,20,0.052,0.052,0.052,0.04,0.0003983689517598,7.90747542982516e-05
delegitimation_add,mistral:7b,0.4,40,0.0545,0.0545,0.0545,0.0299999999999999,7.257783704743259e-06,2.682090989998076e-08
provenance_add,mistral:7b,0.45,60,0.0436666666666667,0.047,0.0436666666666667,0.0299999999999999,4.679307714623154e-07,1.3336157841379742e-10
decontextualization,mistral:7b,0.5555555555555556,36,0.0577777777777778,0.0577777777777778,0.0577777777777778,0.0299999999999999,3.3796260507207975e-05,1.1865001837041825e-07
actor_substitution,mistral:7b,0.4545454545454545,33,0.0381818181818182,0.0381818181818182,0.0381818181818182,0.0299999999999999,2.733813031611642e-06,6.401422558138405e-07
action_substitution,mistral:7b,0.3333333333333333,15,0.0253333333333333,0.0253333333333333,0.0253333333333333,0.0299999999999999,0.0015417652035779,0.0005625731318205
negation,mistral:7b,0.4444444444444444,9,0.0311111111111112,0.0311111111111112,0.0311111111111112,0.0299999999999999,0.0278433116064197,0.00390625
sufficiency,mistral:7b,1.0,1,0.0299999999999999,0.0299999999999999,,,,
actor_substitution,olmo2:7b,0.4666666666666667,45,-0.013555555555555454,0.04200000000000001,-0.013555555555555454,1.1102230246251565e-16,0.15737508847598097,0.30629489488777895
intensity_high,olmo2:7b,0.358974358974359,39,0.011538461538461652,0.021794871794871884,0.011538461538461652,1.1102230246251565e-16,0.06657292734410326,2.6995298999057072e-05
action_substitution,olmo2:7b,0.2777777777777778,36,-0.0055555555555554526,0.02222222222222229,-0.0055555555555554526,1.1102230246251565e-16,0.4872541302558795,0.0029773012791662534
negation,olmo2:7b,0.5294117647058824,17,-0.014705882352941065,0.038235294117647076,-0.014705882352941065,1.1102230246251565e-16,0.35132404532014094,0.6450266183220836
legitimation_add,olmo2:7b,0.5,20,-0.010499999999999893,0.03450000000000004,-0.010499999999999893,1.1102230246251565e-16,0.4208720384769179,0.3378399269905994
delegitimation_add,olmo2:7b,0.475,40,-0.001499999999999896,0.02350000000000007,-0.001499999999999896,1.1102230246251565e-16,0.8414106540830562,0.0012928794285547117
provenance_add,olmo2:7b,0.423728813559322,59,-0.016610169491525318,0.030847457627118678,-0.016610169491525318,1.1102230246251565e-16,0.01774479745233771,0.21409554271621667
decontextualization,olmo2:7b,0.5294117647058824,34,-0.009411764705882245,0.04352941176470591,-0.009411764705882245,1.1102230246251565e-16,0.4155535965758672,0.41748158159963367
sufficiency,olmo2:7b,0.0,2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5
