model,label,precision,recall,f1,support
llama3.2:3b,B,0.84,0.6,0.7,70
llama3.2:3b,E,0.2857142857142857,1.0,0.4444444444444444,4
llama3.2:3b,P,0.16666666666666666,1.0,0.2857142857142857,3
llama3.2:3b,R,0.35294117647058826,0.8571428571428571,0.5,7
llama3.2:3b,S,0.35135135135135137,0.3170731707317073,0.3333333333333333,41
llama3.2:3b,V,0.765625,0.6533333333333333,0.7050359712230215,75
mistral:7b,B,0.9636363636363636,0.7571428571428571,0.848,70
mistral:7b,E,0.2222222222222222,1.0,0.36363636363636365,4
mistral:7b,P,0.75,1.0,0.8571428571428571,3
mistral:7b,R,0.1875,0.42857142857142855,0.2608695652173913,7
mistral:7b,S,0.9,0.21951219512195122,0.35294117647058826,41
mistral:7b,V,0.6597938144329897,0.8533333333333334,0.7441860465116279,75
olmo2:7b,B,0.8243243243243243,0.8714285714285714,0.8472222222222222,70
olmo2:7b,E,0.14814814814814814,1.0,0.25806451612903225,4
olmo2:7b,P,0.42857142857142855,1.0,0.6,3
olmo2:7b,R,0.2,0.5714285714285714,0.2962962962962963,7
olmo2:7b,S,0.8888888888888888,0.1951219512195122,0.32,41
olmo2:7b,V,0.8571428571428571,0.72,0.782608695652174,75
