model,feature,feature_value,n_samples,error_rate,error_rate_diff_from_overall
llama3.2:3b,notes_length,very_short,2,0.5,0.15799999999999997
llama3.2:3b,notes_length,short,388,0.36855670103092786,0.026556701030927832
llama3.2:3b,notes_length,medium,470,0.3382978723404255,-0.0037021276595745056
llama3.2:3b,notes_length,long,138,0.2826086956521739,-0.059391304347826135
llama3.2:3b,notes_length,very_long,2,0.0,-0.342
llama3.2:3b,notes_length_continuous,correlation,1000,-0.06277239192423474,0.04719879768631013
mistral:7b,notes_length,very_short,2,1.0,0.612
mistral:7b,notes_length,short,388,0.42010309278350516,0.03210309278350515
mistral:7b,notes_length,medium,470,0.3680851063829787,-0.019914893617021312
mistral:7b,notes_length,long,138,0.36231884057971014,-0.025681159420289867
mistral:7b,notes_length,very_long,2,0.0,-0.388
mistral:7b,notes_length_continuous,correlation,1000,-0.07588470293483575,0.016388574635754844
gemma3:4b,notes_length,very_short,2,0.0,-0.452
gemma3:4b,notes_length,short,388,0.4639175257731959,0.01191752577319588
gemma3:4b,notes_length,medium,470,0.4553191489361702,0.003319148936170191
gemma3:4b,notes_length,long,138,0.42028985507246375,-0.031710144927536266
gemma3:4b,notes_length,very_long,2,0.0,-0.452
gemma3:4b,notes_length_continuous,correlation,1000,-0.0017749207001763396,0.9552957899212007
olmo2:7b,notes_length,very_short,2,1.0,0.583
olmo2:7b,notes_length,short,388,0.4484536082474227,0.031453608247422715
olmo2:7b,notes_length,medium,470,0.39574468085106385,-0.021255319148936136
olmo2:7b,notes_length,long,138,0.39855072463768115,-0.01844927536231883
olmo2:7b,notes_length,very_long,2,0.0,-0.417
olmo2:7b,notes_length_continuous,correlation,1000,-0.06324276534872034,0.045563767375139404
